Stkcd,Trddt,Clsprc,Dnshrtrd,Adjprcwd,Adjprcnd,Trdsta
600309,2012/11/13,13.04,5909531,324.867871,272.567595,1
600309,2012/11/14,13.2,7632886,328.85398,275.911983,1
600309,2012/11/15,12.81,9292917,319.13784,267.760038,1
600309,2012/11/16,13,6691239,323.871344,271.731498,1
600309,2012/11/19,13.05,4164131,325.117003,272.776619,1
600309,2012/11/20,12.93,2583800,322.127421,270.268328,1
600309,2012/11/21,13.05,4680256,325.117003,272.776619,1
600309,2012/11/22,12.99,3991503,323.622212,271.522474,1
600309,2012/11/23,13.16,6752475,327.857453,275.075886,1
600309,2012/11/26,13.02,5709817,324.369608,272.149547,1
600309,2012/11/27,12.78,4696719,318.390445,267.132965,1
600309,2012/11/28,12.86,4644960,320.383499,268.805159,1
600309,2012/11/29,12.81,3487371,319.13784,267.760038,1
600309,2012/11/30,12.99,4945974,323.622212,271.522474,1
600309,2012/12/3,12.9,6704333,321.380026,269.641256,1
600309,2012/12/4,13.13,7426013,327.110057,274.448813,1
600309,2012/12/5,13.5,11682428,336.327934,282.182709,1
600309,2012/12/6,13.41,4281241,334.085748,280.301491,1
600309,2012/12/7,14,19263334,348.784524,292.633921,1
600309,2012/12/10,14.12,18350629,351.774106,295.142212,1
600309,2012/12/11,13.97,8775705,348.037129,292.006849,1
600309,2012/12/12,13.9,5215640,346.293206,290.543679,1
600309,2012/12/13,13.88,4791870,345.794942,290.125631,1
600309,2012/12/14,14.47,15841200,360.493718,302.458061,1
600309,2012/12/17,14.55,10361061,362.486772,304.130255,1
600309,2012/12/18,14.44,7097562,359.746322,301.830988,1
600309,2012/12/19,14.4,8874059,358.749795,300.994891,1
600309,2012/12/20,14.41,5905093,358.998927,301.203915,1
600309,2012/12/21,14.42,9674616,359.248059,301.412939,1
600309,2012/12/24,14.49,7763422,360.991982,302.876109,1
600309,2012/12/25,14.9,14623486,371.206386,311.446102,1
600309,2012/12/26,15.1,12754326,376.189022,315.626587,1
600309,2012/12/27,14.93,6312384,371.953781,312.073175,1
600309,2012/12/28,15.34,11159433,382.168185,320.643168,1
600309,2012/12/31,15.61,16795647,388.894744,326.286822,1
600309,2013/1/4,15.17,17653647,377.932945,317.089756,1
600309,2013/1/7,15.89,22163979,395.870435,332.139501,1
600309,2013/1/8,16.19,20395033,403.344389,338.410228,1
600309,2013/1/9,15.99,10165169,398.361753,334.229743,1
600309,2013/1/10,15.72,16348747,391.635194,328.586089,1
600309,2013/1/11,15.54,12375143,387.150822,324.823653,1
600309,2013/1/14,16.23,12578920,404.340916,339.246325,1
600309,2013/1/15,16.25,9727662,404.83918,339.664373,1
600309,2013/1/16,16.01,9756393,398.860017,334.647791,1
600309,2013/1/17,15.82,9576376,394.126513,330.676331,1
600309,2013/1/18,15.92,9352401,396.617831,332.766573,1
600309,2013/1/21,16.06,8124023,400.105676,335.692912,1
600309,2013/1/22,15.84,10661245,394.624776,331.094379,1
600309,2013/1/23,15.78,9939159,393.129985,329.840234,1
600309,2013/1/24,15.56,12761390,387.649085,325.241701,1
600309,2013/1/25,15.86,8157110,395.123039,331.512428,1
600309,2013/1/28,16.34,14327837,407.081366,341.545591,1
600309,2013/1/29,16.19,8878463,403.344389,338.410228,1
600309,2013/1/30,16.55,17021393,412.313134,345.9351,1
600309,2013/1/31,16.59,13016296,413.309661,346.771197,1
600309,2013/2/1,16.57,7457552,412.811397,346.353149,1
600309,2013/2/4,16.61,18793300,413.807924,347.189246,1
600309,2013/2/5,17.2,13148468,428.5067,359.521676,1
600309,2013/2/6,17.33,16868400,431.745413,362.238991,1
600309,2013/2/7,17.76,12165784,442.45808,371.227033,1
600309,2013/2/8,17.77,10731775,442.707212,371.436057,1
600309,2013/2/18,17.42,11810320,433.987599,364.120209,1
600309,2013/2/19,17.05,11093907,424.769722,356.386312,1
600309,2013/2/20,17.16,10113062,427.510172,358.685579,1
600309,2013/2/21,16.77,15291060,417.794032,350.533634,1
600309,2013/2/22,16.6,15018934,413.558791,346.980222,1
600309,2013/2/25,16.73,5402160,416.797504,349.697537,1
600309,2013/2/26,16.49,10505953,410.818341,344.680955,1
600309,2013/2/27,17.04,11981538,424.52059,356.177288,1
600309,2013/2/28,17.28,12039685,430.499753,361.19387,1
600309,2013/3/1,17.22,10172595,429.004962,359.939725,1
600309,2013/3/4,16.1,23065355,401.1022,336.529011,1
600309,2013/3/5,16.5,16368941,411.067472,344.88998,1
600309,2013/3/6,16.75,11626424,417.295767,350.115586,1
600309,2013/3/7,16.92,13963298,421.531008,353.668998,1
600309,2013/3/8,16.46,6728430,410.070945,344.053883,1
600309,2013/3/11,16.49,5242945,410.81834,344.680956,1
600309,2013/3/12,16.27,8835595,405.33744,340.082423,1
600309,2013/3/13,16.11,5828189,401.351331,336.738035,1
600309,2013/3/14,16.33,5875248,406.832231,341.336568,1
600309,2013/3/15,16.25,9565382,404.839177,339.664374,1
600309,2013/3/18,16.22,5896365,404.091782,339.037301,1
600309,2013/3/19,16.37,5158377,407.828759,342.172664,1
600309,2013/3/20,16.86,10923643,420.036217,352.414851,1
600309,2013/3/21,17.09,13782109,425.766248,357.222408,1
600309,2013/3/22,16.96,6540210,422.527535,354.505093,1
600309,2013/3/25,16.99,8543138,423.27493,355.132166,1
600309,2013/3/26,18,29630287,448.437242,376.243613,1
600309,2013/3/27,18.24,24648491,454.416405,381.260194,1
600309,2013/3/28,18.38,21476458,457.90425,384.186533,1
600309,2013/3/29,18.19,10100225,453.170746,380.215073,1
600309,2013/4/1,17.94,10789446,446.942451,374.989467,1
600309,2013/4/2,17.81,12685870,443.703738,372.272152,1
600309,2013/4/3,17.99,10355505,448.18811,376.034588,1
600309,2013/4/8,17.91,11034880,446.195056,374.362394,1
600309,2013/4/9,18.29,12068010,455.662064,382.305315,1
600309,2013/4/10,18.45,16896019,459.648173,385.649703,1
600309,2013/4/11,18.34,14376742,456.907723,383.350436,1
600309,2013/4/12,18.23,15062115,454.167273,381.051169,1
600309,2013/4/15,18.07,8937682,450.181164,377.706781,1
600309,2013/4/16,17.85,12539745,444.700264,373.108248,1
600309,2013/4/17,18.17,6630320,452.672482,379.797023,1
600309,2013/4/18,17.98,10164291,447.938978,375.825563,1
600309,2013/4/19,19.41,25384907,483.564826,405.716028,1
600309,2013/4/22,19.46,10923004,484.810485,406.761149,1
600309,2013/4/23,19.08,13025394,475.343477,398.818228,1
600309,2013/4/24,19.42,11832147,483.813958,405.925052,1
600309,2013/4/25,18.9,15097704,470.859104,395.055792,1
600309,2013/4/26,18.59,10502752,463.136018,388.576041,1
600309,2013/5/2,18.84,10272848,469.364313,393.801647,1
600309,2013/5/3,18.73,12536216,484.062926,391.502239,1
600309,2013/5/6,18.9,13109845,488.45645,395.05565,1
600309,2013/5/7,18.71,12352293,483.546041,391.084191,1
600309,2013/5/8,18.73,7686636,484.062926,391.502239,1
600309,2013/5/9,18.24,12745809,471.39924,381.260055,1
600309,2013/5/10,18.52,9140205,478.635632,387.112731,1
600309,2013/5/13,18.08,11857584,467.264159,377.915668,1
600309,2013/5/14,17.95,10385877,463.904406,375.198354,1
600309,2013/5/15,17.72,14559805,457.960227,370.390798,1
600309,2013/5/16,18.18,13479963,469.848585,380.005909,1
600309,2013/5/17,18.47,14261073,477.343419,386.067609,1
600309,2013/5/20,18.67,18849445,482.51227,390.248092,1
600309,2013/5/21,17.94,27256459,463.645963,374.989329,1
600309,2013/5/22,18.04,12367684,466.230389,377.079571,1
600309,2013/5/23,17.63,11999792,455.634244,368.509581,1
600309,2013/5/24,17.93,10609856,463.387521,374.780306,1
600309,2013/5/27,18.24,14621951,471.399241,381.260055,1
600309,2013/5/28,18.06,17549108,466.747275,377.49762,1
600309,2013/5/29,18.1,10471472,467.781045,378.333717,1
